ejecutable;cantidadPatron;tiempo;
kmpSearch-largo;500;9.37846;100
kmpSearch-largo;500;9.38417;100
kmpSearch-largo;500;9.38606;100
kmpSearch-largo;500;9.37758;100
kmpSearch-largo;500;9.3783;100
kmpSearch-largo;500;9.38072;100
kmpSearch-largo;500;9.37758;100
kmpSearch-largo;500;9.37962;100
kmpSearch-largo;500;9.38618;100
kmpSearch-largo;500;9.37619;100
kmpSearch-largo;500;9.37688;100
kmpSearch-largo;500;9.37861;100
kmpSearch-largo;500;9.38775;100
kmpSearch-largo;500;9.37903;100
kmpSearch-largo;500;9.39434;100
kmpSearch-largo;1000;19.019;177
kmpSearch-largo;1000;19.022;177
kmpSearch-largo;1000;19.0167;177
kmpSearch-largo;1000;19.0108;177
kmpSearch-largo;1000;19.0288;177
kmpSearch-largo;1000;19.0196;177
kmpSearch-largo;1000;19.0267;177
kmpSearch-largo;1000;19.0214;177
kmpSearch-largo;1000;19.03;177
kmpSearch-largo;1000;19.0253;177
kmpSearch-largo;1000;19.0192;177
kmpSearch-largo;1000;19.0336;177
kmpSearch-largo;1000;19.0271;177
kmpSearch-largo;1000;19.008;177
kmpSearch-largo;1000;19.025;177
kmpSearch-largo;1000;19.0082;177
kmpSearch-largo;1000;19.0168;177
kmpSearch-largo;2000;37.914;350
kmpSearch-largo;2000;37.9226;350
kmpSearch-largo;2000;37.9489;350
kmpSearch-largo;2000;38.1242;350
kmpSearch-largo;2000;37.9253;350
kmpSearch-largo;2000;38.0777;350
kmpSearch-largo;2000;37.9687;350
kmpSearch-largo;2000;37.961;350
kmpSearch-largo;2000;37.9753;350
kmpSearch-largo;2000;38.0039;350
kmpSearch-largo;2000;37.9922;350
kmpSearch-largo;2000;37.987;350
kmpSearch-largo;2000;38.0007;350
kmpSearch-largo;2000;38.0001;350
kmpSearch-largo;2000;37.9939;350
kmpSearch-largo;2000;38.084;350
kmpSearch-largo;2000;38.0174;350
kmpSearch-largo;2000;38.0035;350
rabinkarpSearch-corto;100;2.1489;855990
rabinkarpSearch-corto;100;2.14871;855990
rabinkarpSearch-corto;100;2.14827;855990
rabinkarpSearch-corto;100;2.14876;855990
rabinkarpSearch-corto;100;2.14543;855990
rabinkarpSearch-corto;100;2.14744;855990
rabinkarpSearch-corto;100;2.14627;855990
rabinkarpSearch-corto;100;2.14646;855990
rabinkarpSearch-corto;100;2.14733;855990
rabinkarpSearch-corto;100;2.14663;855990
rabinkarpSearch-corto;100;2.14779;855990
rabinkarpSearch-corto;100;2.14644;855990
rabinkarpSearch-corto;100;2.14815;855990
rabinkarpSearch-corto;100;2.14677;855990
rabinkarpSearch-corto;100;2.14634;855990
rabinkarpSearch-corto;100;2.14771;855990
rabinkarpSearch-corto;100;2.1463;855990
rabinkarpSearch-corto;100;2.14591;855990
rabinkarpSearch-corto;100;2.14598;855990
rabinkarpSearch-corto;100;2.14677;855990
rabinkarpSearch-corto;200;4.28439;1540579
rabinkarpSearch-corto;200;4.28377;1540579
rabinkarpSearch-corto;200;4.28558;1540579
rabinkarpSearch-corto;200;4.28768;1540579
rabinkarpSearch-corto;200;4.28597;1540579
rabinkarpSearch-corto;200;4.28596;1540579
rabinkarpSearch-corto;200;4.28296;1540579
rabinkarpSearch-corto;200;4.28475;1540579
rabinkarpSearch-corto;200;4.28295;1540579
rabinkarpSearch-corto;200;4.2852;1540579
rabinkarpSearch-corto;200;4.28597;1540579
rabinkarpSearch-corto;200;4.28485;1540579
rabinkarpSearch-corto;200;4.28245;1540579
rabinkarpSearch-corto;200;4.28441;1540579
rabinkarpSearch-corto;200;4.28516;1540579
rabinkarpSearch-corto;200;4.28889;1540579
rabinkarpSearch-corto;200;4.28798;1540579
rabinkarpSearch-corto;200;4.28671;1540579
rabinkarpSearch-corto;200;4.285;1540579
rabinkarpSearch-corto;200;4.28554;1540579
rabinkarpSearch-corto;300;6.43061;2257512
rabinkarpSearch-corto;300;6.43166;2257512
rabinkarpSearch-corto;300;6.43576;2257512
rabinkarpSearch-corto;300;6.42992;2257512
rabinkarpSearch-corto;300;6.43157;2257512
rabinkarpSearch-corto;300;6.42825;2257512
rabinkarpSearch-corto;300;6.431;2257512
rabinkarpSearch-corto;300;6.43075;2257512
rabinkarpSearch-corto;300;6.42881;2257512
rabinkarpSearch-corto;300;6.42622;2257512
rabinkarpSearch-corto;300;6.42948;2257512
rabinkarpSearch-corto;300;6.42621;2257512
rabinkarpSearch-corto;300;6.43089;2257512
rabinkarpSearch-corto;300;6.42838;2257512
rabinkarpSearch-corto;300;6.43343;2257512
rabinkarpSearch-corto;300;6.43087;2257512
rabinkarpSearch-corto;300;6.42901;2257512
rabinkarpSearch-corto;300;6.42995;2257512
rabinkarpSearch-corto;300;6.43079;2257512
rabinkarpSearch-corto;300;6.43231;2257512
rabinkarpSearch-corto;500;10.7115;4040073
rabinkarpSearch-corto;500;10.7119;4040073
rabinkarpSearch-corto;500;10.7111;4040073
rabinkarpSearch-corto;500;10.7122;4040073
rabinkarpSearch-corto;500;10.7024;4040073
rabinkarpSearch-corto;500;10.7111;4040073
rabinkarpSearch-corto;500;10.7083;4040073
rabinkarpSearch-corto;500;10.7066;4040073
rabinkarpSearch-corto;500;10.7143;4040073
rabinkarpSearch-corto;500;10.7049;4040073
rabinkarpSearch-corto;500;10.709;4040073
rabinkarpSearch-corto;500;10.7063;4040073
rabinkarpSearch-corto;500;10.7115;4040073
rabinkarpSearch-corto;500;10.7102;4040073
rabinkarpSearch-corto;500;10.7082;4040073
rabinkarpSearch-corto;500;10.709;4040073
rabinkarpSearch-corto;500;10.715;4040073
rabinkarpSearch-corto;500;10.7081;4040073
rabinkarpSearch-corto;500;10.7072;4040073
rabinkarpSearch-corto;500;10.7055;4040073
rabinkarpSearch-corto;1000;21.4306;7911414
rabinkarpSearch-corto;1000;21.4226;7911414
rabinkarpSearch-corto;1000;21.4261;7911414
rabinkarpSearch-corto;1000;21.4133;7911414
rabinkarpSearch-corto;1000;21.4242;7911414
rabinkarpSearch-corto;1000;21.422;7911414
rabinkarpSearch-corto;1000;21.4243;7911414
rabinkarpSearch-corto;1000;21.4257;7911414
rabinkarpSearch-corto;1000;21.4327;7911414
rabinkarpSearch-corto;1000;21.4259;7911414
rabinkarpSearch-corto;1000;21.4277;7911414
rabinkarpSearch-corto;1000;21.4258;7911414
rabinkarpSearch-corto;1000;21.4338;7911414
rabinkarpSearch-corto;1000;21.4097;7911414
rabinkarpSearch-corto;1000;21.4225;7911414
rabinkarpSearch-corto;1000;21.4237;7911414
rabinkarpSearch-corto;1000;21.4224;7911414
rabinkarpSearch-corto;1000;21.4257;7911414
rabinkarpSearch-corto;1000;21.4285;7911414
rabinkarpSearch-corto;1000;21.4304;7911414
rabinkarpSearch-corto;2000;42.8808;15945820
rabinkarpSearch-corto;2000;42.8833;15945820
rabinkarpSearch-corto;2000;42.8626;15945820
rabinkarpSearch-corto;2000;42.8684;15945820
rabinkarpSearch-corto;2000;42.8732;15945820
rabinkarpSearch-corto;2000;42.8713;15945820
rabinkarpSearch-corto;2000;42.8623;15945820
rabinkarpSearch-corto;2000;42.8675;15945820
rabinkarpSearch-corto;2000;42.8804;15945820
rabinkarpSearch-corto;2000;42.867;15945820
rabinkarpSearch-corto;2000;42.878;15945820
rabinkarpSearch-corto;2000;42.8873;15945820
rabinkarpSearch-corto;2000;42.8463;15945820
rabinkarpSearch-corto;2000;42.8778;15945820
rabinkarpSearch-corto;2000;42.8819;15945820
rabinkarpSearch-corto;2000;42.8712;15945820
rabinkarpSearch-corto;2000;42.8796;15945820
rabinkarpSearch-corto;2000;42.8904;15945820
rabinkarpSearch-corto;2000;42.8767;15945820
rabinkarpSearch-corto;2000;42.8838;15945820
rabinkarpSearch-largo;100;2.13117;20
rabinkarpSearch-largo;100;2.13018;20
rabinkarpSearch-largo;100;2.13171;20
rabinkarpSearch-largo;100;2.1329;20
rabinkarpSearch-largo;100;2.12857;20
rabinkarpSearch-largo;100;2.13123;20
rabinkarpSearch-largo;100;2.13094;20
rabinkarpSearch-largo;100;2.12954;20
rabinkarpSearch-largo;100;2.13127;20
rabinkarpSearch-largo;100;2.1312;20
rabinkarpSearch-largo;100;2.13072;20
rabinkarpSearch-largo;100;2.13143;20
rabinkarpSearch-largo;100;2.13164;20
rabinkarpSearch-largo;100;2.1297;20
rabinkarpSearch-largo;100;2.13282;20
rabinkarpSearch-largo;100;2.13186;20
rabinkarpSearch-largo;100;2.13257;20
rabinkarpSearch-largo;100;2.13155;20
rabinkarpSearch-largo;100;2.12976;20
rabinkarpSearch-largo;100;2.13122;20
rabinkarpSearch-largo;200;4.26102;40
rabinkarpSearch-largo;200;4.26344;40
rabinkarpSearch-largo;200;4.26035;40
rabinkarpSearch-largo;200;4.26078;40
rabinkarpSearch-largo;200;4.26268;40
rabinkarpSearch-largo;200;4.26253;40
rabinkarpSearch-largo;200;4.25781;40
rabinkarpSearch-largo;200;4.26258;40
rabinkarpSearch-largo;200;4.2625;40
rabinkarpSearch-largo;200;4.27888;40
rabinkarpSearch-largo;200;4.2642;40
rabinkarpSearch-largo;200;4.26218;40
rabinkarpSearch-largo;200;4.26295;40
rabinkarpSearch-largo;200;4.26152;40
rabinkarpSearch-largo;200;4.26291;40
rabinkarpSearch-largo;200;4.26286;40
rabinkarpSearch-largo;200;4.26283;40
rabinkarpSearch-largo;200;4.25842;40
rabinkarpSearch-largo;200;4.26279;40
rabinkarpSearch-largo;200;4.25752;40
rabinkarpSearch-largo;300;6.38886;61
rabinkarpSearch-largo;300;6.3929;61
rabinkarpSearch-largo;300;6.39518;61
rabinkarpSearch-largo;300;6.39339;61
rabinkarpSearch-largo;300;6.39661;61
rabinkarpSearch-largo;300;6.39852;61
rabinkarpSearch-largo;300;6.39324;61
rabinkarpSearch-largo;300;6.3887;61
rabinkarpSearch-largo;300;6.39478;61
rabinkarpSearch-largo;300;6.39593;61
