ejecutable;tamañoPatron;tiempo;
rabinkarpSearch;200;4.26125;4711
rabinkarpSearch;200;4.26033;4711
rabinkarpSearch;200;4.26221;4711
rabinkarpSearch;200;4.26131;4711
rabinkarpSearch;200;4.26019;4711
rabinkarpSearch;200;4.2629;4711
rabinkarpSearch;200;4.26195;4711
rabinkarpSearch;200;4.26127;4711
rabinkarpSearch;300;6.39413;7923
rabinkarpSearch;300;6.39581;7923
rabinkarpSearch;300;6.38993;7923
rabinkarpSearch;300;6.39587;7923
rabinkarpSearch;300;6.39571;7923
rabinkarpSearch;300;6.3989;7923
rabinkarpSearch;300;6.39885;7923
rabinkarpSearch;300;6.39512;7923
rabinkarpSearch;300;6.39664;7923
rabinkarpSearch;300;6.39878;7923
rabinkarpSearch;300;6.39607;7923
rabinkarpSearch;300;6.39764;7923
rabinkarpSearch;300;6.39402;7923
rabinkarpSearch;300;6.39508;7923
rabinkarpSearch;300;6.39231;7923
rabinkarpSearch;300;6.39395;7923
rabinkarpSearch;300;6.40039;7923
rabinkarpSearch;300;6.39766;7923
rabinkarpSearch;300;6.39675;7923
rabinkarpSearch;300;6.39693;7923
rabinkarpSearch;500;10.6548;13520
rabinkarpSearch;500;10.6522;13520
rabinkarpSearch;500;10.6509;13520
rabinkarpSearch;500;10.6569;13520
rabinkarpSearch;500;10.6581;13520
rabinkarpSearch;500;10.6471;13520
rabinkarpSearch;500;10.6531;13520
rabinkarpSearch;500;10.6586;13520
rabinkarpSearch;500;10.6543;13520
rabinkarpSearch;500;10.6605;13520
rabinkarpSearch;500;10.6606;13520
rabinkarpSearch;500;10.6581;13520
rabinkarpSearch;500;10.6593;13520
rabinkarpSearch;500;10.6584;13520
rabinkarpSearch;500;10.6566;13520
rabinkarpSearch;500;10.6462;13520
rabinkarpSearch;500;10.656;13520
rabinkarpSearch;500;10.6484;13520
rabinkarpSearch;500;10.66;13520
rabinkarpSearch;500;10.6608;13520
rabinkarpSearch;1000;21.2948;24400
rabinkarpSearch;1000;21.3084;24400
rabinkarpSearch;1000;21.3122;24400
rabinkarpSearch;1000;21.3123;24400
rabinkarpSearch;1000;21.3106;24400
rabinkarpSearch;1000;21.3181;24400
rabinkarpSearch;1000;21.2917;24400
rabinkarpSearch;1000;21.3157;24400
rabinkarpSearch;1000;21.2984;24400
rabinkarpSearch;1000;21.322;24400
rabinkarpSearch;1000;21.308;24400
rabinkarpSearch;1000;21.315;24400
rabinkarpSearch;1000;21.3052;24400
rabinkarpSearch;1000;21.3124;24400
rabinkarpSearch;1000;21.3115;24400
rabinkarpSearch;1000;21.3191;24400
rabinkarpSearch;1000;21.3149;24400
rabinkarpSearch;1000;21.3197;24400
rabinkarpSearch;1000;21.3075;24400
rabinkarpSearch;1000;21.3056;24400
rabinkarpSearch;2000;42.6376;65013
rabinkarpSearch;2000;42.6104;65013
rabinkarpSearch;2000;42.6374;65013
rabinkarpSearch;2000;42.6291;65013
rabinkarpSearch;2000;42.6433;65013
rabinkarpSearch;2000;42.6338;65013
rabinkarpSearch;2000;42.6387;65013
rabinkarpSearch;2000;42.6324;65013
rabinkarpSearch;2000;42.6048;65013
rabinkarpSearch;2000;42.6461;65013
rabinkarpSearch;2000;42.6337;65013
rabinkarpSearch;2000;42.6377;65013
rabinkarpSearch;2000;42.6419;65013
rabinkarpSearch;2000;42.6298;65013
suffixArrayBuild;100;6.06241;
suffixArrayBuild;200;6.02807;
suffixArrayBuild;300;6.00247;
suffixArrayBuild;500;6.03114;
suffixArrayBuild;1000;6.09099;
suffixArrayBuild;2000;6.09815;
suffixArraySearch;100;0.141866;3513
suffixArraySearch;100;0.13454;3513
suffixArraySearch;100;0.133162;3513
suffixArraySearch;100;0.133177;3513
suffixArraySearch;100;0.132902;3513
suffixArraySearch;100;0.132553;3513
suffixArraySearch;100;0.132296;3513
suffixArraySearch;100;0.131925;3513
suffixArraySearch;100;0.132863;3513
suffixArraySearch;100;0.132334;3513
suffixArraySearch;100;0.132035;3513
suffixArraySearch;100;0.131942;3513
suffixArraySearch;100;0.131744;3513
suffixArraySearch;100;0.133584;3513
suffixArraySearch;100;0.131829;3513
suffixArraySearch;100;0.131727;3513
suffixArraySearch;100;0.132173;3513
suffixArraySearch;100;0.132577;3513
suffixArraySearch;100;0.132346;3513
suffixArraySearch;100;0.132204;3513
suffixArraySearch;200;0.276704;4711
suffixArraySearch;200;0.267105;4711
suffixArraySearch;200;0.265648;4711
suffixArraySearch;200;0.26563;4711
suffixArraySearch;200;0.265188;4711
suffixArraySearch;200;0.264948;4711
suffixArraySearch;200;0.264759;4711
suffixArraySearch;200;0.26476;4711
suffixArraySearch;200;0.264481;4711
suffixArraySearch;200;0.264441;4711
suffixArraySearch;200;0.264309;4711
suffixArraySearch;200;0.264356;4711
suffixArraySearch;200;0.264322;4711
suffixArraySearch;200;0.268195;4711
suffixArraySearch;200;0.264555;4711
suffixArraySearch;200;0.264345;4711
suffixArraySearch;200;0.264192;4711
suffixArraySearch;200;0.264217;4711
suffixArraySearch;200;0.264254;4711
suffixArraySearch;200;0.264495;4711
suffixArraySearch;300;0.406292;7923
suffixArraySearch;300;0.393647;7923
suffixArraySearch;300;0.392919;7923
suffixArraySearch;300;0.392433;7923
suffixArraySearch;300;0.392535;7923
suffixArraySearch;300;0.396576;7923
suffixArraySearch;300;0.39442;7923
suffixArraySearch;300;0.392305;7923
suffixArraySearch;300;0.391998;7923
suffixArraySearch;300;0.39186;7923
suffixArraySearch;300;0.391721;7923
suffixArraySearch;300;0.391012;7923
suffixArraySearch;300;0.390808;7923
suffixArraySearch;300;0.39064;7923
suffixArraySearch;300;0.390606;7923
suffixArraySearch;300;0.39047;7923
suffixArraySearch;300;0.390512;7923
suffixArraySearch;300;0.390527;7923
suffixArraySearch;300;0.390506;7923
suffixArraySearch;300;0.390651;7923
suffixArraySearch;500;0.66861;13520
suffixArraySearch;500;0.653765;13520
suffixArraySearch;500;0.652176;13520
suffixArraySearch;500;0.654093;13520
suffixArraySearch;500;0.650896;13520
suffixArraySearch;500;0.650267;13520
suffixArraySearch;500;0.649871;13520
suffixArraySearch;500;0.649976;13520
suffixArraySearch;500;0.649848;13520
